turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,Zon_ohm,unstable
1221,34.3234389,24.0,0.0,0.016611524937386185,13.82298564126159,-27.60466518007209,27.496664337643182,-0.0918394294197419,7.7894460757451665,-15.598156476531312,15.51358798916833,191.07520798128482,6.068390464773791e-05,-0.0026138495863442953,0.10764923358771741,-0.004212297316420729,-0.012165408382293269,0.012874028498876977,-0.9520641504807538,26.57893624393974,152.0735533852781,False
1222,34.3305236,24.0,0.0,0.016488624846419192,13.822735565711978,-27.604848974436862,27.49590859697355,-0.09184740053804222,7.7896031479789904,-15.5983265047166,15.514781392293338,191.0682903943482,6.068635314798979e-05,-0.0026229169848308435,0.10764923619211036,-0.0042314894817660235,-0.012207609971141434,0.01292018747703795,-0.9522316285733027,26.57893624393974,152.07693518083065,False
1223,34.337614099999996,24.0,0.0,0.016365714062806215,13.822484602917907,-27.605015382921863,27.496637522001805,-0.09185531429689767,7.78976080139094,-15.598486494448364,15.515965026064023,191.06134843449937,6.068881074165139e-05,-0.00263199655212731,0.10764923877731618,-0.004250751210151862,-0.0122498681962027,0.012966424205421706,-0.9523997324763459,26.57893624393974,152.08032980913654,False
1224,34.3447104,24.0,0.0,0.016242792663740978,13.82223275164785,-27.605164401833576,27.497349122165872,-0.09186317066879188,7.789919036939653,-15.598636441474563,15.517138885677,191.05438206904003,6.0691277444200134e-05,-0.0026410882785959312,0.10764924134329505,-0.004270082608552716,-0.012292183012620873,0.013012738708651208,-0.9525684569724137,26.57893624393974,152.08373729302673,False
1225,34.3518125,24.0,0.0,0.016119860726447017,13.821980010670982,-27.605296027486162,27.498043393461813,-0.091870969626215,7.790077855583731,-15.598776341545333,15.518302966330408,191.04739126529802,6.069375327111608e-05,-0.0026501921545544144,0.10764924389000749,-0.004289483783919666,-0.012334554375332525,0.013059131011309464,-0.9527377968969896,26.57893624393974,152.08715765533216,False
1226,34.3589204,24.0,0.0,0.015996918328181318,13.821726378757148,-27.60541025620094,27.498720331893765,-0.09187871114166375,7.790237258281725,-15.598906190412997,15.519457263223934,191.04037599062718,6.0696238237881825e-05,-0.0026593081702753984,0.10764924641741407,-0.004308954843180779,-0.012376982239064456,0.013105601137936712,-0.9529077471379248,26.57893624393974,152.09059091888372,False
1227,34.3660341,24.0,0.0,0.015873965546239065,13.821471854676872,-27.605507084307277,27.499379933472625,-0.09188639518764147,7.790397245992137,-15.599025983832073,15.520601771558816,191.0333362124071,6.069873235998245e-05,-0.002668436315987034,0.1076492489254754,-0.0043284958932409915,-0.012419466558336412,0.013152149113032464,-0.9530783026347764,26.57893624393974,152.0940371065122,False
1228,34.373153599999995,24.0,0.0,0.015751002457959948,13.82121643720138,-27.605586508141357,27.500022194216456,-0.09189402173665805,7.790557819673418,-15.59913571755928,15.521736486537842,191.02627189804403,6.0701235652905596e-05,-0.0026775765818724006,0.10764925141415242,-0.004348107040980993,-0.012462007287458374,0.013198774961052033,-0.9532494583781876,26.57893624393974,152.09749624104816,False
1229,34.3802789,24.0,0.0,0.015628029140711715,13.820960125102594,-27.60564852404653,27.50064711015102,-0.09190159076123013,7.790718980283963,-15.599235387353556,15.522861403365376,191.01918301497074,6.0703748132141244e-05,-0.0026867289580698446,0.1076492538834062,-0.004367788393257165,-0.012504604380532124,0.013245478706407526,-0.9534212094092608,26.57893624393974,152.1009683453221,False
1230,34.38741,24.0,0.0,0.015505045671908295,13.820702917153135,-27.605693128374213,27.501254677310072,-0.0919091022338811,7.790880728782109,-15.599868863183842,15.52397651724735,191.01206953064644,6.070626981318188e-05,-0.002695893434672906,0.107649256333198,-0.0043875400569013895,-0.012547257791450899,0.013292260373466942,-0.9535935508189588,26.57893624393974,152.104453442164,False
1231,34.3945469,24.0,0.0,0.015382052128988983,13.820444812126313,-27.60572031748299,27.501844891733725,-0.09191655612714107,7.791043066126127,-15.600607052213956,15.525081823391286,191.0049314125568,6.070880071152228e-05,-0.002705070001730227,0.10764925876348909,-0.004407362138721202,-0.012589967473898978,0.013339119986553362,-0.9537664777475282,26.57893624393974,152.107951554403,False
